2018.11.21-16:39:24
loss_train: 0.13294092	loss_test: 0.15254438
loss_train: 0.12816297	loss_test: 0.1486361
loss_train: 0.12761527	loss_test: 0.14825687
loss_train: 0.1274976	loss_test: 0.14820208
loss_train: 0.12742256	loss_test: 0.14816965
loss_train: 0.12735209	loss_test: 0.14813668
loss_train: 0.1272824	loss_test: 0.14810295
loss_train: 0.12721305	loss_test: 0.14806907
loss_train: 0.12714402	loss_test: 0.14803529
loss_train: 0.12707528	loss_test: 0.14800167
loss_train: 0.12700684	loss_test: 0.14796829
loss_train: 0.12693872	loss_test: 0.14793514
loss_train: 0.12687087	loss_test: 0.14790218
loss_train: 0.12680334	loss_test: 0.14786945
loss_train: 0.12673607	loss_test: 0.14783695
loss_train: 0.12666911	loss_test: 0.14780468
loss_train: 0.12660246	loss_test: 0.14777263
loss_train: 0.12653609	loss_test: 0.14774078
loss_train: 0.12647001	loss_test: 0.14770916
loss_train: 0.12640424	loss_test: 0.14767775
loss_train: 0.12633874	loss_test: 0.14764655
loss_train: 0.12627354	loss_test: 0.14761558
loss_train: 0.12620863	loss_test: 0.14758483
loss_train: 0.126144	loss_test: 0.14755426
loss_train: 0.12607966	loss_test: 0.14752395
loss_train: 0.12601562	loss_test: 0.14749382
loss_train: 0.12595186	loss_test: 0.1474639
loss_train: 0.12588838	loss_test: 0.1474342
loss_train: 0.1258252	loss_test: 0.14740472
loss_train: 0.12576228	loss_test: 0.14737542
loss_train: 0.12569967	loss_test: 0.14734635
loss_train: 0.12563731	loss_test: 0.14731748
loss_train: 0.12557527	loss_test: 0.14728881
loss_train: 0.1255135	loss_test: 0.14726035
loss_train: 0.125452	loss_test: 0.14723209
loss_train: 0.12539078	loss_test: 0.14720403
loss_train: 0.12532984	loss_test: 0.14717618
loss_train: 0.12526919	loss_test: 0.14714853
loss_train: 0.1252088	loss_test: 0.14712107
loss_train: 0.1251487	loss_test: 0.14709382
2018.11.21-16:43:08
