Time,VIB57,VIB58,VIB59
08:15:42:951,0.3296,0.6378,1.5322
08:15:42:955,0.3408,0.6334,1.5218
08:15:42:958,0.3564,0.635,1.5098
08:15:42:962,0.332,0.6674,1.5218
08:15:42:966,0.3364,0.6622,1.4922
08:15:42:970,0.3568,0.6726,1.5466
08:15:42:974,0.334,0.6802,1.5154
08:15:42:978,0.3296,0.6626,1.5314
08:15:42:982,0.3452,0.6682,1.539
08:15:42:986,0.3468,0.6638,1.5398
08:15:42:990,0.3228,0.6634,1.5382
08:15:42:994,0.3324,0.6838,1.5538
08:15:42:998,0.3396,0.6846,1.5362
08:15:43:001,0.34,0.6998,1.5446
08:15:43:005,0.3332,0.6914,1.5458
08:15:43:009,0.3488,0.7078,1.5354
08:15:43:013,0.3652,0.7086,1.5462
08:15:43:017,0.3364,0.6978,1.5458
08:15:43:021,0.3364,0.6942,1.549
08:15:43:025,0.36,0.6974,1.517
08:15:43:029,0.3436,0.7018,1.5402
08:15:43:033,0.3548,0.6958,1.5214
08:15:43:037,0.3572,0.703,1.5218
08:15:43:041,0.3376,0.6922,1.5234
08:15:43:044,0.3232,0.7046,1.5186
08:15:43:048,0.3352,0.6798,1.4826
08:15:43:052,0.3648,0.6606,1.5142
08:15:43:056,0.352,0.6646,1.4938
08:15:43:060,0.3144,0.671,1.481
08:15:43:064,0.332,0.6622,1.4802
08:15:43:068,0.3588,0.6622,1.4718
08:15:43:072,0.3288,0.663,1.485
08:15:43:076,0.3516,0.6478,1.4858
08:15:43:080,0.3556,0.645,1.4554
08:15:43:083,0.3296,0.6486,1.4702
08:15:43:087,0.3244,0.6462,1.4486
08:15:43:091,0.33,0.6458,1.4642
08:15:43:095,0.322,0.6406,1.4746
08:15:43:099,0.3532,0.6394,1.4494
08:15:43:103,0.3664,0.6618,1.4606
08:15:43:107,0.3348,0.6566,1.4574
08:15:43:111,0.3368,0.6502,1.4802
08:15:43:115,0.3348,0.659,1.4702
08:15:43:119,0.3508,0.6394,1.4958
08:15:43:123,0.3708,0.647,1.5238
08:15:43:126,0.328,0.6422,1.5042
08:15:43:130,0.316,0.655,1.531
08:15:43:134,0.356,0.677,1.4698
08:15:43:138,0.3392,0.6778,1.4838
08:15:43:142,0.3204,0.6858,1.5066
08:15:43:146,0.3484,0.6782,1.4894
08:15:43:150,0.3068,0.695,1.5094
08:15:43:154,0.322,0.703,1.515
08:15:43:158,0.346,0.6842,1.4886
08:15:43:162,0.346,0.6942,1.5062
08:15:43:166,0.3276,0.7106,1.5194
08:15:43:169,0.3408,0.6858,1.5234
08:15:43:173,0.334,0.7038,1.5226
08:15:43:177,0.318,0.6938,1.519
08:15:43:181,0.33,0.6918,1.559
08:15:43:185,0.3284,0.6866,1.5274
08:15:43:189,0.3632,0.669,1.521
08:15:43:193,0.344,0.6882,1.5082
08:15:43:197,0.3212,0.6966,1.5214
08:15:43:201,0.3496,0.6906,1.4886
08:15:43:205,0.37,0.6734,1.5178
08:15:43:208,0.3364,0.6774,1.5046
08:15:43:212,0.3452,0.6702,1.5306
08:15:43:216,0.3428,0.6378,1.5226
08:15:43:220,0.338,0.6498,1.5334
08:15:43:224,0.3208,0.649,1.5238
08:15:43:228,0.328,0.655,1.5138
08:15:43:232,0.3416,0.6478,1.5374
08:15:43:236,0.3572,0.6402,1.497
08:15:43:240,0.3552,0.6602,1.5018
08:15:43:244,0.3256,0.6458,1.5318
08:15:43:248,0.3416,0.6502,1.499
08:15:43:251,0.3572,0.647,1.4886
08:15:43:255,0.3348,0.6638,1.5286
08:15:43:259,0.3224,0.6674,1.5094
08:15:43:263,0.3456,0.6594,1.4914
08:15:43:267,0.3524,0.6938,1.483
08:15:43:271,0.3336,0.6906,1.4846
08:15:43:275,0.3388,0.695,1.4706
08:15:43:279,0.3536,0.6922,1.4674
08:15:43:283,0.3272,0.6962,1.4718
08:15:43:287,0.3372,0.687,1.477
08:15:43:291,0.3184,0.7018,1.475
08:15:43:294,0.3296,0.6822,1.4818
08:15:43:298,0.3384,0.7118,1.4554
08:15:43:302,0.3584,0.6986,1.5074
08:15:43:306,0.3536,0.7278,1.4878
08:15:43:310,0.3364,0.7238,1.4974
08:15:43:314,0.3284,0.7378,1.5282
08:15:43:318,0.3356,0.715,1.4958
08:15:43:322,0.3396,0.707,1.491
08:15:43:326,0.3192,0.7206,1.5002
08:15:43:330,0.2992,0.715,1.5126
08:15:43:333,0.3428,0.6986,1.4838
08:15:43:337,0.3656,0.7138,1.4414
08:15:43:341,0.3212,0.7086,1.4994
08:15:43:345,0.3312,0.7022,1.4838
08:15:43:349,0.3548,0.6834,1.4958
08:15:43:353,0.3312,0.6738,1.4962
08:15:43:357,0.314,0.687,1.5322
08:15:43:361,0.3244,0.6554,1.5278
08:15:43:365,0.3504,0.6622,1.5114
08:15:43:369,0.3608,0.6458,1.5146
08:15:43:373,0.3336,0.6594,1.4878
08:15:43:376,0.3508,0.675,1.529
08:15:43:380,0.3524,0.6526,1.4586
08:15:43:384,0.3292,0.653,1.4994
08:15:43:388,0.3172,0.6606,1.4814
08:15:43:392,0.3236,0.6334,1.5194
08:15:43:396,0.3592,0.6246,1.4998
08:15:43:400,0.3524,0.641,1.4982
08:15:43:404,0.3368,0.6578,1.4994
08:15:43:408,0.34,0.6782,1.4938
08:15:43:412,0.3344,0.6594,1.4918
08:15:43:416,0.356,0.6722,1.5106
08:15:43:419,0.3192,0.6826,1.5174
08:15:43:423,0.3192,0.669,1.5214
08:15:43:427,0.3448,0.6646,1.4962
08:15:43:431,0.3252,0.6842,1.5034
08:15:43:435,0.332,0.6854,1.5086
08:15:43:439,0.3588,0.7054,1.509
08:15:43:443,0.3452,0.7002,1.4998
08:15:43:447,0.336,0.7254,1.499
08:15:43:451,0.3048,0.733,1.5066
08:15:43:455,0.3332,0.721,1.5118
08:15:43:458,0.314,0.717,1.5266
08:15:43:462,0.3092,0.7246,1.5238
08:15:43:466,0.3456,0.7342,1.4754
08:15:43:470,0.3396,0.7322,1.5146
08:15:43:474,0.3356,0.729,1.4962
08:15:43:478,0.33,0.7302,1.5074
08:15:43:482,0.3252,0.729,1.4966
08:15:43:486,0.342,0.721,1.5226
08:15:43:490,0.3408,0.7098,1.5162
08:15:43:494,0.3348,0.7006,1.503
08:15:43:498,0.352,0.6898,1.5238
08:15:43:501,0.3268,0.7054,1.4898
08:15:43:505,0.3416,0.677,1.5062
08:15:43:509,0.3464,0.683,1.4874
08:15:43:513,0.308,0.6878,1.5034
08:15:43:517,0.3264,0.677,1.4822
08:15:43:521,0.3316,0.6646,1.5106
08:15:43:525,0.3276,0.6758,1.5034
08:15:43:529,0.3212,0.6646,1.5154
08:15:43:533,0.3376,0.6654,1.4986
08:15:43:537,0.3604,0.6514,1.469
08:15:43:541,0.3276,0.6722,1.4698
08:15:43:544,0.322,0.6602,1.483
08:15:43:548,0.3152,0.6478,1.5026
08:15:43:552,0.3284,0.6518,1.4946
08:15:43:556,0.3572,0.647,1.4806
08:15:43:560,0.3368,0.6762,1.515
08:15:43:564,0.3344,0.667,1.5034
08:15:43:568,0.3556,0.6702,1.4746
08:15:43:572,0.3444,0.6958,1.4782
08:15:43:576,0.3004,0.7066,1.4566
08:15:43:580,0.3528,0.6898,1.4618
08:15:43:583,0.322,0.6894,1.459
08:15:43:587,0.3116,0.7098,1.4614
08:15:43:591,0.3312,0.7198,1.463
08:15:43:595,0.3428,0.6994,1.4886
08:15:43:599,0.3268,0.7194,1.4986
08:15:43:603,0.3276,0.721,1.509
08:15:43:607,0.332,0.7194,1.525
08:15:43:611,0.3256,0.7074,1.5402
08:15:43:615,0.3352,0.695,1.5346
08:15:43:619,0.3412,0.6978,1.5158
08:15:43:623,0.3204,0.7038,1.5214
08:15:43:626,0.3464,0.6986,1.4914
08:15:43:630,0.3388,0.6866,1.4642
08:15:43:634,0.3104,0.6994,1.4818
08:15:43:638,0.3244,0.6978,1.5134
08:15:43:642,0.3304,0.675,1.511
08:15:43:646,0.3348,0.693,1.5078
08:15:43:650,0.3256,0.7002,1.5106
08:15:43:654,0.3404,0.6906,1.5186
08:15:43:658,0.3316,0.6838,1.5142
08:15:43:662,0.3308,0.6794,1.5018
08:15:43:666,0.35,0.6682,1.5022
08:15:43:669,0.3304,0.687,1.5038
08:15:43:673,0.3252,0.6734,1.5198
08:15:43:677,0.3464,0.6702,1.4938
08:15:43:681,0.338,0.6714,1.5054
08:15:43:685,0.3348,0.6674,1.5342
08:15:43:689,0.3484,0.649,1.5102
08:15:43:693,0.344,0.6626,1.507
08:15:43:697,0.3348,0.6894,1.4762
08:15:43:701,0.3232,0.687,1.4798
08:15:43:705,0.3312,0.689,1.4862
08:15:43:708,0.3328,0.6846,1.4966
08:15:43:712,0.3148,0.6966,1.4802
08:15:43:716,0.304,0.6982,1.481
08:15:43:720,0.3,0.699,1.447
08:15:43:724,0.3292,0.697,1.4398
08:15:43:728,0.338,0.7082,1.441
08:15:43:732,0.338,0.693,1.4518
08:15:43:736,0.3536,0.6958,1.4558
08:15:43:740,0.3488,0.6926,1.4302
08:15:43:744,0.3352,0.711,1.4394
08:15:43:748,0.3228,0.7158,1.4334
08:15:43:751,0.322,0.727,1.4602
08:15:43:755,0.3284,0.7202,1.4702
08:15:43:759,0.3488,0.725,1.4782
08:15:43:763,0.3212,0.7038,1.4906
08:15:43:767,0.3288,0.7038,1.465
08:15:43:771,0.3224,0.7018,1.4274
08:15:43:775,0.3036,0.697,1.441
08:15:43:779,0.3204,0.7058,1.4738
08:15:43:783,0.3192,0.6938,1.493
08:15:43:787,0.3296,0.6898,1.4938
08:15:43:791,0.3336,0.6854,1.5178
08:15:43:794,0.3284,0.6962,1.4954
08:15:43:798,0.3464,0.6758,1.4898
08:15:43:802,0.3236,0.6926,1.4918
08:15:43:806,0.3096,0.6814,1.4846
08:15:43:810,0.3364,0.6934,1.4686
08:15:43:814,0.3424,0.6714,1.4818
08:15:43:818,0.3464,0.6826,1.4774
08:15:43:822,0.3476,0.6834,1.4734
08:15:43:826,0.3296,0.7182,1.469
08:15:43:830,0.3336,0.7194,1.4502
08:15:43:833,0.3136,0.7362,1.4618
08:15:43:837,0.3024,0.7186,1.4886
08:15:43:841,0.34,0.6966,1.4682
08:15:43:845,0.3228,0.6958,1.4982
08:15:43:849,0.3208,0.6966,1.4686
08:15:43:853,0.3376,0.7002,1.437
08:15:43:857,0.3324,0.7086,1.4322
08:15:43:861,0.3192,0.7162,1.4694
08:15:43:865,0.3128,0.705,1.4822
08:15:43:869,0.3336,0.7102,1.4906
08:15:43:873,0.3572,0.7318,1.4722
08:15:43:876,0.3596,0.7378,1.4534
08:15:43:880,0.3216,0.749,1.4622
08:15:43:884,0.3276,0.7702,1.4834
08:15:43:888,0.332,0.843,1.4798
08:15:43:892,0.2972,0.6874,1.5002
08:15:43:896,0.3352,0.747,1.489
08:15:43:900,0.3312,0.7234,1.4734
08:15:43:904,0.3204,0.7438,1.497
08:15:43:908,0.3052,0.7446,1.5178
08:15:43:912,0.3132,0.7426,1.5254
08:15:43:916,0.336,0.7434,1.5134
08:15:43:919,0.3496,0.7514,1.4842
08:15:43:923,0.3252,0.7422,1.4894
08:15:43:927,0.3164,0.7478,1.4542
08:15:43:931,0.344,0.749,1.4598
08:15:43:935,0.3144,0.7606,1.493
08:15:43:939,0.3204,0.759,1.4954
