Time,VIB57,VIB58,VIB59
08:16:39:412,0.3964,0.6958,1.4554
08:16:39:416,0.3612,0.703,1.439
08:16:39:419,0.3596,0.7098,1.4858
08:16:39:423,0.3836,0.681,1.4762
08:16:39:427,0.3748,0.7042,1.537
08:16:39:431,0.358,0.717,1.5302
08:16:39:435,0.3592,0.7238,1.5542
08:16:39:439,0.3452,0.737,1.5414
08:16:39:443,0.366,0.7398,1.5258
08:16:39:447,0.3492,0.7586,1.5486
08:16:39:451,0.348,0.767,1.5918
08:16:39:455,0.3616,0.7826,1.549
08:16:39:458,0.3612,0.7886,1.5418
08:16:39:462,0.37,0.8106,1.553
08:16:39:466,0.3392,0.7942,1.5366
08:16:39:470,0.3504,0.7922,1.5526
08:16:39:474,0.364,0.8134,1.5662
08:16:39:478,0.3476,0.8226,1.5366
08:16:39:482,0.3748,0.811,1.5426
08:16:39:486,0.3684,0.7986,1.5366
08:16:39:490,0.3656,0.8186,1.5322
08:16:39:494,0.3808,0.8078,1.5322
08:16:39:498,0.3644,0.7998,1.5314
08:16:39:501,0.3584,0.8006,1.4886
08:16:39:505,0.3684,0.809,1.4974
08:16:39:509,0.3556,0.783,1.5218
08:16:39:513,0.3608,0.7946,1.4906
08:16:39:517,0.3788,0.7906,1.5022
08:16:39:521,0.3692,0.801,1.4854
08:16:39:525,0.3692,0.7946,1.4894
08:16:39:529,0.3864,0.7746,1.479
08:16:39:533,0.3624,0.7814,1.5042
08:16:39:537,0.3404,0.7642,1.4882
08:16:39:541,0.3768,0.7586,1.5018
08:16:39:544,0.3752,0.7498,1.4738
08:16:39:548,0.342,0.7658,1.5042
08:16:39:552,0.358,0.741,1.4806
08:16:39:556,0.4032,0.7514,1.4762
08:16:39:560,0.364,0.7534,1.4842
08:16:39:564,0.354,0.7742,1.5106
08:16:39:568,0.3656,0.7554,1.4882
08:16:39:572,0.3756,0.7442,1.4562
08:16:39:576,0.3508,0.7418,1.4778
08:16:39:580,0.3748,0.7194,1.4922
08:16:39:583,0.3716,0.7498,1.425
08:16:39:587,0.3548,0.7434,1.4346
08:16:39:591,0.3388,0.7746,1.4414
08:16:39:595,0.3628,0.773,1.4598
08:16:39:599,0.3692,0.769,1.4898
08:16:39:603,0.3752,0.7626,1.5338
08:16:39:607,0.3328,0.7702,1.5154
08:16:39:611,0.3536,0.7538,1.5266
08:16:39:615,0.3832,0.7574,1.5166
08:16:39:619,0.3348,0.757,1.541
08:16:39:623,0.35,0.773,1.5386
08:16:39:626,0.3504,0.7762,1.5178
08:16:39:630,0.3524,0.7894,1.5166
08:16:39:634,0.352,0.785,1.5138
08:16:39:638,0.3356,0.7882,1.533
08:16:39:642,0.3676,0.7754,1.4922
08:16:39:646,0.3732,0.771,1.5294
08:16:39:650,0.3508,0.7714,1.5374
08:16:39:654,0.3588,0.7702,1.5406
08:16:39:658,0.3648,0.7798,1.525
08:16:39:662,0.3804,0.7646,1.535
08:16:39:666,0.364,0.771,1.5402
08:16:39:669,0.3708,0.7626,1.505
08:16:39:673,0.378,0.7718,1.5246
08:16:39:677,0.3476,0.7446,1.5218
08:16:39:681,0.374,0.751,1.4918
08:16:39:685,0.396,0.7478,1.4982
08:16:39:689,0.352,0.7498,1.5202
08:16:39:693,0.3748,0.737,1.499
08:16:39:697,0.3772,0.733,1.4722
08:16:39:701,0.3744,0.711,1.479
08:16:39:705,0.354,0.717,1.4718
08:16:39:708,0.3784,0.7034,1.4626
08:16:39:712,0.3484,0.7434,1.4526
08:16:39:716,0.3616,0.733,1.4742
08:16:39:720,0.3644,0.7382,1.4806
08:16:39:724,0.3636,0.7198,1.4914
08:16:39:728,0.3672,0.7406,1.4886
08:16:39:732,0.3572,0.7198,1.4822
08:16:39:736,0.3612,0.7278,1.4854
08:16:39:740,0.3504,0.7242,1.4666
08:16:39:744,0.3572,0.7394,1.4522
08:16:39:748,0.3676,0.725,1.4834
08:16:39:751,0.3556,0.7534,1.4714
08:16:39:755,0.3392,0.7582,1.4622
08:16:39:759,0.3536,0.7598,1.4602
08:16:39:763,0.3616,0.7398,1.457
08:16:39:767,0.3384,0.7442,1.459
08:16:39:771,0.35,0.7442,1.4262
08:16:39:775,0.3484,0.755,1.4558
08:16:39:779,0.344,0.761,1.4366
08:16:39:783,0.3576,0.7594,1.4862
08:16:39:787,0.3536,0.7702,1.4662
08:16:39:791,0.3696,0.763,1.4786
08:16:39:794,0.3832,0.777,1.4542
08:16:39:798,0.3652,0.769,1.4522
08:16:39:802,0.3556,0.785,1.4722
08:16:39:806,0.3604,0.7702,1.499
08:16:39:810,0.3536,0.781,1.5222
08:16:39:814,0.378,0.783,1.5102
08:16:39:818,0.3772,0.7798,1.5362
08:16:39:822,0.3484,0.7718,1.5166
08:16:39:826,0.3444,0.7486,1.5062
08:16:39:830,0.3396,0.761,1.5098
08:16:39:833,0.3296,0.7534,1.5114
08:16:39:837,0.3552,0.749,1.5062
08:16:39:841,0.3684,0.7462,1.4878
08:16:39:845,0.3592,0.785,1.4866
08:16:39:849,0.3492,0.7542,1.4646
08:16:39:853,0.3772,0.7626,1.4742
08:16:39:857,0.366,0.7594,1.4622
08:16:39:861,0.38,0.7742,1.465
08:16:39:865,0.38,0.7522,1.4962
08:16:39:869,0.372,0.7634,1.4862
08:16:39:873,0.3688,0.7586,1.4938
08:16:39:876,0.3688,0.773,1.5186
08:16:39:880,0.3504,0.7654,1.5258
08:16:39:884,0.3508,0.7606,1.5502
08:16:39:888,0.3568,0.7422,1.5186
08:16:39:892,0.3528,0.7598,1.5062
08:16:39:896,0.3332,0.7318,1.5466
08:16:39:900,0.3456,0.719,1.5298
08:16:39:904,0.3672,0.7186,1.4894
08:16:39:908,0.3312,0.743,1.509
08:16:39:912,0.346,0.733,1.5178
08:16:39:916,0.3624,0.7206,1.5306
08:16:39:919,0.36,0.7426,1.5134
08:16:39:923,0.3624,0.7518,1.5386
08:16:39:927,0.3564,0.7534,1.5314
08:16:39:931,0.3652,0.733,1.5154
08:16:39:935,0.3832,0.7406,1.5174
08:16:39:939,0.3512,0.745,1.515
08:16:39:943,0.3456,0.7434,1.5054
08:16:39:947,0.3816,0.7234,1.4878
08:16:39:951,0.3868,0.7602,1.4386
08:16:39:955,0.3444,0.733,1.4978
08:16:39:958,0.3492,0.7502,1.4758
08:16:39:962,0.3584,0.7414,1.4558
08:16:39:966,0.352,0.7474,1.445
08:16:39:970,0.3664,0.741,1.4462
08:16:39:974,0.3576,0.7538,1.4254
08:16:39:978,0.3572,0.7338,1.403
08:16:39:982,0.378,0.7458,1.4262
08:16:39:986,0.354,0.7326,1.4402
08:16:39:990,0.3612,0.7334,1.4658
08:16:39:994,0.346,0.7322,1.4426
08:16:39:998,0.366,0.7562,1.4394
08:16:40:001,0.3652,0.7358,1.4198
08:16:40:005,0.3656,0.7318,1.4226
08:16:40:009,0.3612,0.7538,1.3986
08:16:40:013,0.3384,0.7478,1.419
08:16:40:017,0.3456,0.7426,1.4158
08:16:40:021,0.37,0.7126,1.4118
08:16:40:025,0.3376,0.751,1.415
08:16:40:029,0.322,0.723,1.4526
08:16:40:033,0.3452,0.7206,1.421
08:16:40:037,0.3668,0.7174,1.4162
08:16:40:041,0.3456,0.721,1.4482
08:16:40:044,0.3492,0.7134,1.4614
08:16:40:048,0.356,0.7102,1.461
08:16:40:052,0.3768,0.7286,1.469
08:16:40:056,0.364,0.7242,1.495
08:16:40:060,0.374,0.7218,1.4766
08:16:40:064,0.3852,0.7038,1.4842
08:16:40:068,0.3576,0.713,1.5182
08:16:40:072,0.3692,0.7262,1.493
08:16:40:076,0.368,0.7094,1.5354
08:16:40:080,0.3524,0.717,1.559
08:16:40:083,0.3804,0.745,1.529
08:16:40:087,0.3376,0.7298,1.613
08:16:40:091,0.3736,0.7386,1.605
08:16:40:095,0.3636,0.7138,1.6278
08:16:40:099,0.3344,0.7362,1.5962
08:16:40:103,0.3632,0.7362,1.6118
08:16:40:107,0.364,0.7246,1.5558
08:16:40:111,0.3504,0.7462,1.567
08:16:40:115,0.3404,0.7734,1.5346
08:16:40:119,0.3712,0.785,1.5378
08:16:40:123,0.364,0.7678,1.5742
08:16:40:126,0.3996,0.7826,1.5386
08:16:40:130,0.3644,0.807,1.525
08:16:40:134,0.3788,0.7906,1.5086
08:16:40:138,0.3864,0.793,1.5142
08:16:40:142,0.3404,0.773,1.499
08:16:40:146,0.3636,0.7974,1.4746
08:16:40:150,0.364,0.7926,1.4642
08:16:40:154,0.3384,0.7706,1.4558
08:16:40:158,0.3524,0.7958,1.401
08:16:40:162,0.3552,0.7822,1.3942
08:16:40:166,0.344,0.799,1.4078
08:16:40:169,0.3512,0.7618,1.3958
08:16:40:173,0.3584,0.7762,1.3774
08:16:40:177,0.348,0.7818,1.399
08:16:40:181,0.3448,0.769,1.397
08:16:40:185,0.37,0.7354,1.3874
08:16:40:189,0.3584,0.7574,1.3854
08:16:40:193,0.3548,0.7558,1.4098
08:16:40:197,0.3516,0.7286,1.4138
08:16:40:201,0.3784,0.7194,1.3998
08:16:40:205,0.3604,0.7322,1.4154
08:16:40:208,0.3536,0.7366,1.3946
08:16:40:212,0.352,0.7018,1.4066
08:16:40:216,0.36,0.721,1.3782
08:16:40:220,0.338,0.7274,1.3838
08:16:40:224,0.3264,0.7354,1.4202
08:16:40:228,0.3468,0.7102,1.3838
08:16:40:232,0.3452,0.7122,1.3922
08:16:40:236,0.3348,0.7122,1.431
08:16:40:240,0.3512,0.7038,1.4278
08:16:40:244,0.388,0.6998,1.445
08:16:40:248,0.3736,0.6982,1.4682
08:16:40:251,0.3596,0.7138,1.487
08:16:40:255,0.3812,0.7094,1.4818
08:16:40:259,0.3864,0.6958,1.5026
08:16:40:263,0.362,0.7074,1.5234
08:16:40:267,0.3716,0.7086,1.513
08:16:40:271,0.3812,0.7154,1.4874
08:16:40:275,0.3484,0.7226,1.5158
08:16:40:279,0.3364,0.7298,1.507
08:16:40:283,0.3524,0.7434,1.5314
08:16:40:287,0.3564,0.7598,1.5438
08:16:40:291,0.3412,0.7726,1.5838
08:16:40:294,0.3512,0.7722,1.5626
08:16:40:298,0.3568,0.7814,1.581
08:16:40:302,0.3544,0.7714,1.5458
08:16:40:306,0.3824,0.7646,1.5618
08:16:40:310,0.3588,0.7654,1.5546
08:16:40:314,0.3584,0.7894,1.5206
08:16:40:318,0.3724,0.7678,1.5054
08:16:40:322,0.3628,0.7666,1.5358
08:16:40:326,0.3764,0.737,1.5286
08:16:40:330,0.3868,0.755,1.4834
08:16:40:333,0.3496,0.7666,1.4938
08:16:40:337,0.3392,0.7558,1.487
08:16:40:341,0.3676,0.7682,1.4686
08:16:40:345,0.3672,0.7562,1.4702
08:16:40:349,0.3656,0.7818,1.5122
08:16:40:353,0.3816,0.779,1.4526
08:16:40:357,0.3776,0.7746,1.4534
08:16:40:361,0.3476,0.7666,1.4566
08:16:40:365,0.3576,0.7602,1.4434
08:16:40:369,0.38,0.7386,1.4278
08:16:40:373,0.3524,0.7358,1.453
08:16:40:376,0.364,0.7382,1.4234
08:16:40:380,0.3804,0.7338,1.429
08:16:40:384,0.3516,0.7454,1.4682
08:16:40:388,0.35,0.7258,1.4722
08:16:40:392,0.3824,0.7054,1.4594
08:16:40:396,0.3696,0.721,1.475
08:16:40:400,0.34,0.743,1.4534
08:16:40:404,0.342,0.7218,1.4182
08:16:40:408,0.34,0.7386,1.4334
08:16:40:412,0.3204,0.7314,1.427
08:16:40:416,0.34,0.7278,1.437
08:16:40:419,0.3672,0.7402,1.449
08:16:40:423,0.3604,0.725,1.4614
08:16:40:427,0.3736,0.709,1.4434
08:16:40:431,0.3944,0.711,1.4646
08:16:40:435,0.3704,0.6906,1.4762
08:16:40:439,0.368,0.6998,1.471
08:16:40:443,0.3432,0.7046,1.4538
08:16:40:447,0.352,0.7018,1.4558
08:16:40:451,0.4076,0.6846,1.4242
08:16:40:455,0.3944,0.7162,1.4222
08:16:40:458,0.3792,0.7138,1.475
08:16:40:462,0.36,0.7254,1.4278
08:16:40:466,0.3912,0.7202,1.4374
08:16:40:470,0.3512,0.719,1.4778
08:16:40:474,0.3516,0.7262,1.4978
08:16:40:478,0.3824,0.7086,1.4702
08:16:40:482,0.3716,0.7234,1.5278
08:16:40:486,0.3584,0.6898,1.5062
08:16:40:490,0.3712,0.6986,1.5306
08:16:40:494,0.3668,0.6746,1.5042
08:16:40:498,0.376,0.6958,1.5018
08:16:40:501,0.3604,0.7046,1.4762
08:16:40:505,0.3516,0.7074,1.4642
08:16:40:509,0.3612,0.7218,1.4694
08:16:40:513,0.35,0.7154,1.4774
08:16:40:517,0.3444,0.7206,1.4982
08:16:40:521,0.4084,0.7158,1.4486
08:16:40:525,0.3956,0.7246,1.4894
08:16:40:529,0.3656,0.7286,1.4922
08:16:40:533,0.3864,0.735,1.4878
08:16:40:537,0.3888,0.7318,1.467
08:16:40:541,0.3496,0.7338,1.5454
08:16:40:544,0.348,0.7438,1.5366
08:16:40:548,0.3916,0.733,1.5238
08:16:40:552,0.3656,0.7422,1.529
08:16:40:556,0.3676,0.7442,1.4794
08:16:40:560,0.386,0.7546,1.467
08:16:40:564,0.374,0.7842,1.4994
08:16:40:568,0.35,0.7722,1.5082
08:16:40:572,0.3432,0.7842,1.497
08:16:40:576,0.3476,0.7946,1.5106
08:16:40:580,0.3272,0.7906,1.501
08:16:40:583,0.3404,0.791,1.533
08:16:40:587,0.3416,0.7894,1.5134
08:16:40:591,0.348,0.7938,1.4886
08:16:40:595,0.3564,0.805,1.4714
08:16:40:599,0.3576,0.7762,1.4506
08:16:40:603,0.37,0.8014,1.4402
08:16:40:607,0.3656,0.807,1.3986
08:16:40:611,0.364,0.8022,1.4626
08:16:40:615,0.332,0.7954,1.4286
08:16:40:619,0.3548,0.805,1.4382
08:16:40:623,0.3692,0.797,1.4318
08:16:40:626,0.3836,0.8078,1.4742
08:16:40:630,0.3424,0.7706,1.443
08:16:40:634,0.3756,0.7866,1.4538
08:16:40:638,0.358,0.7674,1.4254
08:16:40:642,0.356,0.7654,1.4658
08:16:40:646,0.3564,0.7506,1.471
08:16:40:650,0.3672,0.7486,1.4386
08:16:40:654,0.3408,0.7694,1.4534
08:16:40:658,0.3472,0.7466,1.4746
08:16:40:662,0.376,0.7566,1.451
08:16:40:666,0.3668,0.7598,1.483
08:16:40:669,0.354,0.7694,1.5078
08:16:40:673,0.366,0.753,1.5246
08:16:40:677,0.3688,0.7478,1.523
08:16:40:681,0.3592,0.741,1.5538
08:16:40:685,0.3456,0.721,1.5526
08:16:40:689,0.376,0.7202,1.5746
08:16:40:693,0.358,0.717,1.547
08:16:40:697,0.3708,0.711,1.5622
08:16:40:701,0.3684,0.7146,1.5222
08:16:40:705,0.3668,0.719,1.5242
08:16:40:708,0.3664,0.7142,1.5114
08:16:40:712,0.386,0.7166,1.5122
08:16:40:716,0.384,0.7178,1.5126
08:16:40:720,0.3616,0.733,1.5182
08:16:40:724,0.356,0.7398,1.533
08:16:40:728,0.3848,0.7394,1.5126
08:16:40:732,0.4004,0.735,1.5378
08:16:40:736,0.3792,0.7658,1.5274
08:16:40:740,0.3836,0.7574,1.5378
08:16:40:744,0.3788,0.7766,1.4974
08:16:40:748,0.36,0.7686,1.5174
08:16:40:751,0.3428,0.7734,1.531
08:16:40:755,0.362,0.7558,1.513
08:16:40:759,0.3564,0.765,1.4978
08:16:40:763,0.3424,0.7582,1.4694
08:16:40:767,0.3584,0.7598,1.441
08:16:40:771,0.3424,0.797,1.4578
08:16:40:775,0.338,0.7962,1.4986
08:16:40:779,0.368,0.7962,1.4838
08:16:40:783,0.3884,0.807,1.5222
08:16:40:787,0.3484,0.8158,1.5218
08:16:40:791,0.3552,0.7794,1.5362
08:16:40:794,0.3756,0.785,1.4746
08:16:40:798,0.378,0.7926,1.4774
08:16:40:802,0.3564,0.8042,1.467
08:16:40:806,0.3748,0.8126,1.4778
08:16:40:810,0.388,0.8142,1.4182
08:16:40:814,0.3852,0.8142,1.4694
08:16:40:818,0.3424,0.8074,1.4742
08:16:40:822,0.3728,0.7906,1.4878
08:16:40:826,0.3548,0.7962,1.4934
08:16:40:830,0.3428,0.7906,1.507
08:16:40:833,0.3484,0.773,1.5202
08:16:40:837,0.3584,0.7782,1.5258
08:16:40:841,0.342,0.7646,1.5346
08:16:40:845,0.3456,0.7706,1.5102
08:16:40:849,0.35,0.7626,1.5274
08:16:40:853,0.342,0.7602,1.5374
08:16:40:857,0.3484,0.7654,1.5402
08:16:40:861,0.37,0.733,1.5442
08:16:40:865,0.3732,0.7454,1.5702
08:16:40:869,0.3468,0.7246,1.5342
08:16:40:873,0.3852,0.7246,1.5366
08:16:40:876,0.3732,0.723,1.5482
08:16:40:880,0.3328,0.709,1.5558
08:16:40:884,0.3704,0.7054,1.583
08:16:40:888,0.3684,0.7014,1.549
08:16:40:892,0.3544,0.7098,1.5238
08:16:40:896,0.352,0.6962,1.5406
08:16:40:900,0.3472,0.6966,1.503
08:16:40:904,0.3812,0.7034,1.4986
08:16:40:908,0.3592,0.719,1.4854
08:16:40:912,0.3672,0.7262,1.497
08:16:40:916,0.3596,0.7506,1.483
08:16:40:919,0.3708,0.7278,1.5106
08:16:40:923,0.378,0.7166,1.5374
08:16:40:927,0.3684,0.725,1.5038
08:16:40:931,0.3512,0.7326,1.5326
08:16:40:935,0.356,0.7122,1.5386
08:16:40:939,0.3652,0.727,1.5014
08:16:40:943,0.3732,0.7346,1.4706
08:16:40:947,0.3496,0.7702,1.4758
08:16:40:951,0.3324,0.7774,1.481
08:16:40:955,0.3596,0.771,1.4434
08:16:40:958,0.3564,0.773,1.4366
08:16:40:962,0.3492,0.7966,1.4474
08:16:40:966,0.3436,0.773,1.4558
08:16:40:970,0.366,0.7594,1.4582
08:16:40:974,0.364,0.7562,1.449
08:16:40:978,0.3576,0.7746,1.4318
08:16:40:982,0.3668,0.7602,1.4702
08:16:40:986,0.3596,0.743,1.4366
08:16:40:990,0.3592,0.7666,1.459
08:16:40:994,0.376,0.7686,1.4894
08:16:40:998,0.3668,0.7622,1.4618
08:16:41:001,0.3536,0.735,1.4538
08:16:41:005,0.3548,0.7474,1.461
08:16:41:009,0.3504,0.7442,1.445
08:16:41:013,0.3308,0.7514,1.453
08:16:41:017,0.3276,0.7486,1.4414
08:16:41:021,0.3456,0.7678,1.4398
08:16:41:025,0.3388,0.7406,1.4734
08:16:41:029,0.3568,0.7306,1.4762
08:16:41:033,0.3856,0.7054,1.4734
08:16:41:037,0.3664,0.7254,1.4762
08:16:41:041,0.362,0.7266,1.4702
08:16:41:044,0.3552,0.7098,1.4834
08:16:41:048,0.3624,0.711,1.4642
08:16:41:052,0.3968,0.713,1.5078
08:16:41:056,0.3776,0.7294,1.5082
08:16:41:060,0.3844,0.7042,1.525
08:16:41:064,0.376,0.711,1.515
08:16:41:068,0.346,0.7058,1.5162
08:16:41:072,0.3376,0.6838,1.5438
08:16:41:076,0.344,0.6742,1.5214
08:16:41:080,0.3352,0.6854,1.5182
08:16:41:083,0.3184,0.693,1.5066
08:16:41:087,0.3632,0.6822,1.497
08:16:41:091,0.3668,0.6626,1.4506
08:16:41:095,0.3672,0.6778,1.4958
08:16:41:099,0.372,0.6834,1.4906
08:16:41:103,0.3532,0.6966,1.4934
08:16:41:107,0.386,0.7014,1.4746
08:16:41:111,0.3848,0.7002,1.4582
08:16:41:115,0.3936,0.703,1.4598
08:16:41:119,0.3828,0.6898,1.457
08:16:41:123,0.3868,0.6882,1.4666
08:16:41:126,0.3884,0.6878,1.4438
08:16:41:130,0.3796,0.6866,1.4506
08:16:41:134,0.3972,0.6782,1.4326
08:16:41:138,0.3752,0.6926,1.439
08:16:41:142,0.3548,0.6914,1.437
08:16:41:146,0.3456,0.7062,1.4594
08:16:41:150,0.362,0.6946,1.405
08:16:41:154,0.3616,0.6938,1.4186
08:16:41:158,0.358,0.6998,1.4146
08:16:41:162,0.3752,0.6966,1.3398
08:16:41:166,0.3996,0.689,1.3682
08:16:41:169,0.3528,0.7126,1.3706
08:16:41:173,0.3432,0.7014,1.3574
08:16:41:177,0.3684,0.6894,1.347
08:16:41:181,0.3724,0.6942,1.379
08:16:41:185,0.3536,0.6982,1.345
08:16:41:189,0.368,0.7206,1.2834
08:16:41:193,0.3884,0.7034,1.2934
08:16:41:197,0.3732,0.715,1.3062
08:16:41:201,0.3616,0.7002,1.321
08:16:41:205,0.3764,0.7154,1.3122
08:16:41:208,0.368,0.719,1.3122
08:16:41:212,0.3396,0.741,1.3386
08:16:41:216,0.3448,0.737,1.3466
08:16:41:220,0.3496,0.7306,1.3658
08:16:41:224,0.3776,0.7546,1.3782
08:16:41:228,0.3604,0.775,1.3998
08:16:41:232,0.3648,0.7722,1.423
08:16:41:236,0.3564,0.7702,1.4294
08:16:41:240,0.3656,0.7518,1.4102
08:16:41:244,0.36,0.7438,1.4138
08:16:41:248,0.3372,0.7686,1.4822
08:16:41:251,0.324,0.7606,1.4498
08:16:41:255,0.3592,0.7686,1.461
08:16:41:259,0.3412,0.7698,1.4726
08:16:41:263,0.3456,0.7862,1.4914
08:16:41:267,0.3456,0.7702,1.4874
08:16:41:271,0.36,0.773,1.5002
08:16:41:275,0.358,0.7826,1.4806
08:16:41:279,0.3468,0.8014,1.5174
08:16:41:283,0.338,0.7782,1.5626
08:16:41:287,0.3768,0.7734,1.5374
08:16:41:291,0.4012,0.7758,1.5598
08:16:41:294,0.3792,0.795,1.5854
08:16:41:298,0.38,0.7758,1.5494
08:16:41:302,0.396,0.783,1.5318
08:16:41:306,0.3648,0.7818,1.5354
08:16:41:310,0.3696,0.7998,1.575
08:16:41:314,0.3836,0.7782,1.5538
08:16:41:318,0.37,0.769,1.5538
08:16:41:322,0.3676,0.7802,1.5622
08:16:41:326,0.3564,0.7466,1.577
08:16:41:330,0.3708,0.7306,1.5778
08:16:41:333,0.3684,0.7202,1.5686
08:16:41:337,0.364,0.7154,1.5606
08:16:41:341,0.3536,0.7166,1.5966
08:16:41:345,0.3492,0.6742,1.5742
08:16:41:349,0.3808,0.6838,1.5898
08:16:41:353,0.3612,0.6726,1.603
08:16:41:357,0.372,0.6554,1.547
08:16:41:361,0.374,0.6574,1.5286
08:16:41:365,0.3288,0.6502,1.4954
08:16:41:369,0.3472,0.6554,1.4702
08:16:41:373,0.3836,0.6394,1.4206
08:16:41:376,0.4036,0.6306,1.4314
08:16:41:380,0.3692,0.6598,1.4174
08:16:41:384,0.3724,0.6662,1.3498
08:16:41:388,0.396,0.6906,1.361
08:16:41:392,0.3752,0.6942,1.3718
08:16:41:396,0.3476,0.715,1.371
08:16:41:400,0.3804,0.7158,1.3462
08:16:41:404,0.3776,0.7118,1.3438
08:16:41:408,0.364,0.7058,1.3034
08:16:41:412,0.3688,0.7006,1.3198
08:16:41:416,0.3704,0.7366,1.2686
08:16:41:419,0.3408,0.7522,1.3826
08:16:41:423,0.3168,0.749,1.4046
08:16:41:427,0.3592,0.7678,1.411
08:16:41:431,0.3484,0.7822,1.4234
08:16:41:435,0.3408,0.7654,1.4626
08:16:41:439,0.3512,0.7434,1.4118
08:16:41:443,0.3884,0.731,1.4226
08:16:41:447,0.3676,0.7466,1.4098
08:16:41:451,0.3424,0.7582,1.4266
08:16:41:455,0.3684,0.7514,1.4174
08:16:41:458,0.382,0.7578,1.4378
08:16:41:462,0.3712,0.769,1.4638
08:16:41:466,0.378,0.763,1.5046
08:16:41:470,0.3876,0.7686,1.5042
08:16:41:474,0.3972,0.753,1.5462
08:16:41:478,0.3672,0.7774,1.5618
08:16:41:482,0.3936,0.7678,1.5622
08:16:41:486,0.4032,0.747,1.5426
08:16:41:490,0.3816,0.7554,1.573
08:16:41:494,0.3508,0.7334,1.5606
08:16:41:498,0.3672,0.735,1.5614
08:16:41:501,0.3648,0.735,1.5794
08:16:41:505,0.3492,0.743,1.6254
08:16:41:509,0.342,0.7794,1.6378
08:16:41:513,0.3456,0.7762,1.6242
08:16:41:517,0.354,0.7822,1.677
08:16:41:521,0.3532,0.7782,1.6886
08:16:41:525,0.37,0.7518,1.6674
08:16:41:529,0.3828,0.761,1.6898
08:16:41:533,0.346,0.7834,1.6774
08:16:41:537,0.376,0.7798,1.6726
08:16:41:541,0.3728,0.7814,1.6566
08:16:41:544,0.3704,0.8106,1.6314
08:16:41:548,0.3788,0.7986,1.6706
08:16:41:552,0.3572,0.799,1.6394
08:16:41:556,0.372,0.7946,1.5838
08:16:41:560,0.3776,0.8034,1.5662
08:16:41:564,0.3496,0.7934,1.5874
08:16:41:568,0.342,0.789,1.5698
08:16:41:572,0.3808,0.7994,1.5426
08:16:41:576,0.3876,0.8298,1.5458
08:16:41:580,0.3332,0.8306,1.5854
08:16:41:583,0.3452,0.8066,1.5546
08:16:41:587,0.37,0.807,1.5042
08:16:41:591,0.3512,0.8382,1.5226
08:16:41:595,0.322,0.8314,1.5218
08:16:41:599,0.3396,0.8098,1.5094
08:16:41:603,0.3684,0.8202,1.4538
08:16:41:607,0.3636,0.8342,1.487
08:16:41:611,0.3412,0.8298,1.4678
08:16:41:615,0.3548,0.8026,1.4346
08:16:41:619,0.3352,0.8086,1.3946
08:16:41:623,0.3164,0.823,1.4658
08:16:41:626,0.318,0.7898,1.4034
08:16:41:630,0.3728,0.7526,1.4238
08:16:41:634,0.3304,0.7826,1.4306
08:16:41:638,0.3336,0.7978,1.5002
08:16:41:642,0.334,0.7918,1.501
08:16:41:646,0.3744,0.775,1.4746
08:16:41:650,0.354,0.7894,1.505
08:16:41:654,0.344,0.7986,1.5082
08:16:41:658,0.3432,0.789,1.4642
08:16:41:662,0.3396,0.7798,1.4314
08:16:41:666,0.3416,0.7814,1.4434
08:16:41:669,0.3612,0.7634,1.4518
08:16:41:673,0.3772,0.7198,1.469
08:16:41:677,0.3516,0.737,1.499
08:16:41:681,0.3572,0.7406,1.5106
08:16:41:685,0.3608,0.721,1.5346
08:16:41:689,0.3584,0.7126,1.5174
08:16:41:693,0.3644,0.6986,1.5642
08:16:41:697,0.3692,0.7118,1.5738
08:16:41:701,0.3592,0.7262,1.6094
08:16:41:705,0.3608,0.7138,1.6002
08:16:41:708,0.3676,0.739,1.6106
08:16:41:712,0.37,0.7382,1.5758
08:16:41:716,0.3736,0.7214,1.6482
08:16:41:720,0.3528,0.7386,1.611
08:16:41:724,0.3596,0.7714,1.6318
08:16:41:728,0.3556,0.7694,1.6374
08:16:41:732,0.3644,0.767,1.6422
08:16:41:736,0.3736,0.7738,1.5974
08:16:41:740,0.3552,0.7938,1.6182
08:16:41:744,0.342,0.7898,1.5794
08:16:41:748,0.364,0.7734,1.5566
08:16:41:751,0.3432,0.7838,1.5238
08:16:41:755,0.348,0.7794,1.5358
08:16:41:759,0.364,0.789,1.489
08:16:41:763,0.3896,0.795,1.5086
08:16:41:767,0.3536,0.7966,1.5458
08:16:41:771,0.3652,0.8074,1.5426
08:16:41:775,0.388,0.7738,1.5154
08:16:41:779,0.3676,0.7974,1.565
08:16:41:783,0.3576,0.769,1.5722
08:16:41:787,0.3772,0.785,1.5606
08:16:41:791,0.3584,0.7726,1.5334
08:16:41:794,0.3308,0.7946,1.5286
08:16:41:798,0.3512,0.767,1.5686
08:16:41:802,0.35,0.7634,1.5562
08:16:41:806,0.3452,0.769,1.5634
08:16:41:810,0.35,0.7566,1.5626
08:16:41:814,0.3432,0.7406,1.5182
08:16:41:818,0.3484,0.7274,1.5102
08:16:41:822,0.362,0.7158,1.483
08:16:41:826,0.35,0.717,1.5318
08:16:41:830,0.3284,0.7294,1.5186
08:16:41:833,0.34,0.7266,1.5214
08:16:41:837,0.334,0.7338,1.4858
08:16:41:841,0.342,0.7318,1.5074
08:16:41:845,0.3424,0.7222,1.5082
08:16:41:849,0.362,0.711,1.5194
