Time,VIB57,VIB58,VIB59
13:50:09:457,0.4216,0.7498,1.5346
13:50:09:460,0.4236,0.7502,1.5334
13:50:09:464,0.4204,0.7482,1.5326
13:50:09:468,0.4196,0.7498,1.535
13:50:09:472,0.42,0.7482,1.5322
13:50:09:476,0.4216,0.7538,1.5322
13:50:09:480,0.4212,0.749,1.5314
13:50:09:484,0.418,0.7502,1.529
13:50:09:488,0.4224,0.7518,1.531
13:50:09:492,0.4168,0.7522,1.529
13:50:09:496,0.4176,0.7542,1.529
13:50:09:500,0.418,0.7554,1.5294
13:50:09:503,0.4216,0.7542,1.5302
13:50:09:507,0.4216,0.7542,1.5326
13:50:09:511,0.42,0.7526,1.5282
13:50:09:515,0.4192,0.751,1.5286
13:50:09:519,0.4204,0.7534,1.527
13:50:09:523,0.4196,0.7542,1.529
13:50:09:527,0.4196,0.7506,1.5286
13:50:09:531,0.4184,0.7538,1.5294
13:50:09:535,0.422,0.7522,1.5294
13:50:09:539,0.4204,0.753,1.5286
13:50:09:542,0.4188,0.751,1.5306
13:50:09:546,0.4224,0.749,1.5298
13:50:09:550,0.42,0.7514,1.5278
13:50:09:554,0.4216,0.7518,1.529
13:50:09:558,0.4172,0.7514,1.5274
13:50:09:562,0.4184,0.7518,1.5274
13:50:09:566,0.4216,0.7518,1.5286
13:50:09:570,0.4208,0.7534,1.5306
13:50:09:574,0.4172,0.7506,1.5278
13:50:09:578,0.4224,0.7506,1.5314
13:50:09:582,0.4208,0.7498,1.5302
13:50:09:585,0.4228,0.751,1.5294
13:50:09:589,0.4152,0.7522,1.529
13:50:09:593,0.4216,0.7498,1.5306
13:50:09:597,0.4224,0.7478,1.5278
13:50:09:601,0.4164,0.747,1.5298
13:50:09:605,0.422,0.7494,1.5282
13:50:09:609,0.4176,0.7482,1.5246
13:50:09:613,0.4224,0.7526,1.5238
13:50:09:617,0.4176,0.7514,1.5238
13:50:09:621,0.4176,0.7526,1.5258
13:50:09:625,0.4224,0.7502,1.523
13:50:09:628,0.4244,0.7522,1.5266
13:50:09:632,0.4172,0.7502,1.5234
13:50:09:636,0.4184,0.7514,1.5242
13:50:09:640,0.4176,0.7526,1.523
13:50:09:644,0.4176,0.7542,1.5198
13:50:09:648,0.4168,0.7558,1.5198
13:50:09:652,0.4208,0.755,1.5198
13:50:09:656,0.4212,0.7542,1.521
13:50:09:660,0.4244,0.7562,1.5174
13:50:09:664,0.4172,0.753,1.5194
13:50:09:667,0.4196,0.7558,1.5198
13:50:09:671,0.4196,0.7534,1.5226
13:50:09:675,0.42,0.7542,1.5222
13:50:09:679,0.4176,0.7534,1.523
13:50:09:683,0.4148,0.7514,1.523
13:50:09:687,0.4212,0.7506,1.5226
13:50:09:691,0.4176,0.7522,1.5246
13:50:09:695,0.42,0.751,1.525
13:50:09:699,0.4188,0.7466,1.5262
13:50:09:703,0.4216,0.7494,1.521
13:50:09:707,0.4184,0.7474,1.5218
13:50:09:710,0.4184,0.7486,1.5218
13:50:09:714,0.4192,0.7486,1.5214
13:50:09:718,0.4208,0.7506,1.521
13:50:09:722,0.4176,0.7494,1.5202
13:50:09:726,0.42,0.7478,1.5242
13:50:09:730,0.418,0.7506,1.5238
13:50:09:734,0.4188,0.7502,1.5218
13:50:09:738,0.4184,0.7462,1.5226
13:50:09:742,0.4204,0.7474,1.5206
13:50:09:746,0.4212,0.751,1.5206
13:50:09:750,0.416,0.7506,1.5226
13:50:09:753,0.4184,0.7498,1.5214
13:50:09:757,0.42,0.7486,1.5202
13:50:09:761,0.4176,0.7534,1.5242
13:50:09:765,0.4208,0.7494,1.5226
13:50:09:769,0.4172,0.7522,1.523
13:50:09:773,0.4188,0.7502,1.5246
13:50:09:777,0.4196,0.753,1.5258
13:50:09:781,0.4204,0.749,1.523
13:50:09:785,0.42,0.7502,1.5242
13:50:09:789,0.4184,0.7478,1.523
13:50:09:792,0.422,0.7494,1.5278
13:50:09:796,0.4208,0.751,1.5218
13:50:09:800,0.4188,0.7494,1.5254
13:50:09:804,0.4184,0.7502,1.5238
13:50:09:808,0.4212,0.7502,1.5266
13:50:09:812,0.4188,0.7474,1.5214
13:50:09:816,0.418,0.7494,1.5246
13:50:09:820,0.4208,0.7478,1.5242
13:50:09:824,0.4224,0.7498,1.5218
13:50:09:828,0.4176,0.7474,1.5194
13:50:09:832,0.4196,0.7478,1.5254
13:50:09:835,0.4192,0.7498,1.5262
13:50:09:839,0.4196,0.7494,1.5286
13:50:09:843,0.4144,0.7474,1.5254
13:50:09:847,0.4192,0.7454,1.5274
13:50:09:851,0.4188,0.7462,1.5262
13:50:09:855,0.4216,0.7462,1.5266
13:50:09:859,0.4184,0.7442,1.5266
13:50:09:863,0.418,0.743,1.5266
13:50:09:867,0.4212,0.747,1.5298
13:50:09:871,0.42,0.7454,1.5266
13:50:09:875,0.4184,0.7454,1.531
13:50:09:878,0.4192,0.7458,1.531
13:50:09:882,0.424,0.745,1.533
13:50:09:886,0.4188,0.7494,1.5306
13:50:09:890,0.42,0.7478,1.5314
13:50:09:894,0.4176,0.749,1.5318
13:50:09:898,0.4212,0.7498,1.5306
13:50:09:902,0.4176,0.7494,1.5326
13:50:09:906,0.4188,0.7514,1.5338
13:50:09:910,0.4192,0.7518,1.5322
13:50:09:914,0.4228,0.7522,1.533
13:50:09:917,0.4224,0.749,1.535
13:50:09:921,0.42,0.7526,1.533
13:50:09:925,0.414,0.7518,1.5362
13:50:09:929,0.42,0.7522,1.533
13:50:09:933,0.4168,0.749,1.535
13:50:09:937,0.4184,0.751,1.5354
13:50:09:941,0.42,0.7498,1.5358
13:50:09:945,0.4184,0.7502,1.5342
13:50:09:949,0.4184,0.7498,1.537
13:50:09:953,0.4164,0.7514,1.5306
13:50:09:957,0.4228,0.7542,1.5342
13:50:09:960,0.4196,0.7522,1.5294
13:50:09:964,0.4212,0.7522,1.533
13:50:09:968,0.4192,0.7526,1.5322
13:50:09:972,0.422,0.7542,1.535
13:50:09:976,0.4204,0.7518,1.5298
13:50:09:980,0.4184,0.7542,1.5346
13:50:09:984,0.4196,0.7542,1.5334
13:50:09:988,0.4196,0.7554,1.5322
13:50:09:992,0.4156,0.7506,1.5334
13:50:09:996,0.4196,0.7514,1.5314
13:50:10:000,0.418,0.7486,1.5318
13:50:10:003,0.42,0.749,1.5306
13:50:10:007,0.4172,0.7462,1.5318
13:50:10:011,0.4188,0.7522,1.5318
13:50:10:015,0.4196,0.7442,1.533
13:50:10:019,0.418,0.7486,1.5306
13:50:10:023,0.4168,0.747,1.5306
13:50:10:027,0.4184,0.7454,1.5338
13:50:10:031,0.4192,0.7474,1.5354
13:50:10:035,0.4224,0.7454,1.531
13:50:10:039,0.4184,0.745,1.5358
13:50:10:042,0.4196,0.7466,1.5322
13:50:10:046,0.422,0.749,1.529
13:50:10:050,0.4168,0.7482,1.5294
13:50:10:054,0.4196,0.7494,1.5286
13:50:10:058,0.4212,0.7502,1.5302
13:50:10:062,0.42,0.753,1.5266
13:50:10:066,0.4188,0.749,1.527
13:50:10:070,0.4152,0.755,1.5278
13:50:10:074,0.4184,0.7502,1.529
13:50:10:078,0.42,0.7538,1.5278
13:50:10:082,0.4172,0.7538,1.5298
13:50:10:085,0.4188,0.7542,1.5306
13:50:10:089,0.4168,0.7546,1.5334
13:50:10:093,0.4192,0.7534,1.5314
13:50:10:097,0.4168,0.7514,1.535
13:50:10:101,0.4204,0.755,1.5322
13:50:10:105,0.4236,0.7526,1.5346
13:50:10:109,0.424,0.7554,1.5342
13:50:10:113,0.4168,0.751,1.5362
13:50:10:117,0.418,0.7538,1.5354
13:50:10:121,0.4216,0.7514,1.5354
13:50:10:125,0.4224,0.7506,1.5366
13:50:10:128,0.42,0.7506,1.5362
13:50:10:132,0.4204,0.7498,1.5362
13:50:10:136,0.4224,0.7522,1.5318
13:50:10:140,0.4188,0.751,1.5298
13:50:10:144,0.42,0.7494,1.5318
